股票代號,股票名稱,持股股數_純數字,權重%,__NAV_VALUE
2330,台積電,668000,8.07%,16970256824.0
2308,台達電,407000,4.83%,16970256824.0
2383,台光電,196000,4.69%,16970256824.0
3017,奇鋐,239000,3.80%,16970256824.0
2368,金像電,502000,3.70%,16970256824.0
3653,健策,111000,3.54%,16970256824.0
2454,聯發科,250000,3.38%,16970256824.0
3665,貿聯-KY,214000,3.22%,16970256824.0
2059,川湖,137000,3.18%,16970256824.0
2345,智邦,244000,3.16%,16970256824.0
5274,信  驊,33000,3.13%,16970256824.0
2360,致茂,254000,3.04%,16970256824.0
3037,欣興,708000,2.99%,16970256824.0
3044,健鼎,1034000,2.80%,16970256824.0
2382,廣達,1291000,2.55%,16970256824.0
6223,旺矽,69000,1.96%,16970256824.0
6187,萬  潤,237000,1.94%,16970256824.0
2404,漢唐,226000,1.33%,16970256824.0
2303,聯電,2825000,1.31%,16970256824.0
1519,華  城,235000,1.27%,16970256824.0
6488,環球晶,348000,1.23%,16970256824.0
3081,聯  亞,64000,1.13%,16970256824.0
6271,同欣電,1028000,1.12%,16970256824.0
2327,國巨,584000,1.09%,16970256824.0
2357,華碩,301000,1.08%,16970256824.0
2344,華邦電,1990000,1.06%,16970256824.0
2376,技嘉,597000,1.00%,16970256824.0
6805,富世達,84000,0.98%,16970256824.0
1303,南亞,1840000,0.97%,16970256824.0
6669,緯穎,37000,0.95%,16970256824.0
3211,順  達,362000,0.89%,16970256824.0
1590,亞德客-KY,111000,0.87%,16970256824.0
8210,勤  誠,138000,0.85%,16970256824.0
3131,弘  塑,42000,0.84%,16970256824.0
2313,華通,544000,0.79%,16970256824.0
3529,力旺,32000,0.76%,16970256824.0
6285,啟  碁,481000,0.68%,16970256824.0
3163,波若威,98000,0.68%,16970256824.0
3036,文曄,535000,0.67%,16970256824.0
2885,元大金,2277000,0.67%,16970256824.0
3443,創意,31000,0.67%,16970256824.0
6274,台  燿,112000,0.64%,16970256824.0
3293,鈊  象,133000,0.62%,16970256824.0
2379,瑞昱,176000,0.59%,16970256824.0
2891,中信金,1847000,0.58%,16970256824.0
5434,崇越,200000,0.51%,16970256824.0
6442,光  聖,38000,0.50%,16970256824.0
1717,長興,907000,0.44%,16970256824.0
2881,富邦金,817000,0.43%,16970256824.0
2449,京元電子,208000,0.35%,16970256824.0
6715,嘉  基,140000,0.35%,16970256824.0
3023,信邦,190000,0.32%,16970256824.0
3374,精  材,271000,0.31%,16970256824.0
6683,雍智科技,24000,0.27%,16970256824.0
8464,億  豐,117000,0.26%,16970256824.0
2385,群光,338000,0.25%,16970256824.0
6121,新  普,76000,0.17%,16970256824.0
